Price,Area,Location,Bedrooms,Resale,Gymnasium,Lift,Parking,Maintenance,Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas_Conn,Jogging Track,Swimming Pool
240000,580,Nala Sopara,1,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No
240000,595,Nala Sopara,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
240000,590,Nala Sopara,1,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
240000,590,Nalasopara West,1,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
240000,575,Nala Sopara,1,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No
240000,594,Nala Sopara,1,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No
240000,575,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
241800,640,Ambarnath,1,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No
242500,690,Badlapur West,1,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
243500,590,Titwala,1,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
243600,575,Thane West,1,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No
244000,585,Nala Sopara,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
244500,585,Nala Sopara,1,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
245000,500,Naigaon East,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
245000,575,Nala Sopara,1,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
245000,550,Ambernath West,1,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
245000,620,Nala Sopara,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
